# ----------------------------------------
# SA app
# Dani pokes at LA trends-Free form 1
# 20201201-20220101
# ----------------------------------------

Month,01,12,06,11,05,02,08,12,07,10,09,04,03,01,Totals
Year,2021,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,Totals
Country ID,New users,New users,New users,New users,New users,New users,New users,New users,New users,New users,New users,New users,New users,New users,New users
,7999,7783,6277,6253,6027,5993,5886,5869,5830,5412,5410,5227,4421,137,78524,Grand total
MX,1550,1074,1212,826,1247,1563,733,876,1500,713,647,1474,1161,19,14595
CO,1782,1491,1082,312,1351,737,406,240,878,246,271,890,504,3,10193
AR,555,1269,336,609,328,388,204,549,420,524,537,382,329,12,6442
NG,611,602,162,189,181,485,236,174,206,206,195,180,249,7,3683
GT,501,319,310,212,410,394,132,214,310,163,188,257,237,6,3653
HN,430,315,432,188,390,334,146,158,387,174,175,239,187,4,3559
PE,118,145,59,399,86,87,262,325,50,492,527,116,86,11,2763
CD,119,145,183,308,270,177,343,243,127,224,233,194,193,2,2761
EC,54,96,57,435,83,50,190,482,57,475,503,84,58,10,2634
CM,148,128,184,219,145,129,433,176,128,165,129,88,103,5,2180
KE,140,143,173,125,79,67,269,168,164,188,218,76,60,6,1876
CI,140,137,88,168,71,155,170,128,84,124,130,50,95,2,1542
US,152,106,161,116,100,104,111,170,96,122,108,89,90,5,1530
IN,135,133,104,107,116,100,107,121,88,117,105,93,94,7,1427
GN,57,51,152,234,106,68,298,125,80,64,71,59,46,0,1411
BF,84,89,125,171,65,94,225,123,63,66,49,48,57,5,1264
GH,182,163,68,81,73,126,75,81,84,77,82,61,75,1,1229
ML,51,63,132,111,48,46,173,85,76,54,58,29,45,1,972
ZA,66,51,60,49,53,54,86,68,59,78,73,59,53,1,810
BJ,51,61,83,103,29,48,142,74,59,45,48,33,25,2,803
SN,47,38,82,69,51,39,87,54,59,75,53,31,41,1,727
GA,31,37,53,94,19,31,91,45,32,40,46,14,20,0,553
PH,36,27,57,40,39,39,45,42,61,49,39,41,32,0,547
BO,33,62,39,54,51,33,37,30,38,34,33,69,31,0,544
TZ,16,20,17,64,4,10,11,111,21,116,101,3,9,4,507
CL,37,125,27,23,46,42,20,40,26,23,14,53,29,0,505
DO,22,20,42,108,11,20,53,108,32,27,26,20,11,1,501
TG,44,35,77,46,20,31,71,34,20,35,30,29,22,1,495
BR,40,37,27,46,34,30,40,62,24,42,37,29,30,0,478
CU,21,31,29,31,30,36,25,40,25,36,42,21,32,1,400
FR,32,22,53,35,28,19,29,36,35,30,42,16,16,1,394
CR,33,48,16,30,30,30,20,57,18,16,26,29,27,1,381
ET,23,36,17,50,23,20,28,49,19,26,30,22,16,2,361
NE,20,19,45,60,19,14,51,31,26,19,23,15,15,2,359
UG,14,36,30,23,24,11,31,34,46,34,38,12,17,0,350
CG,20,21,9,35,10,18,26,46,28,42,36,8,8,2,309
TD,10,11,44,48,14,15,46,20,25,24,21,8,20,0,306
NO,159,62,0,0,0,14,2,0,2,1,1,0,1,0,242
ES,14,63,22,14,26,9,15,18,16,9,14,11,6,2,239
VE,15,34,13,19,22,17,18,17,17,18,16,18,12,1,237
ZM,18,22,12,17,16,15,17,14,19,18,14,16,14,0,212
PK,13,20,6,14,15,15,11,18,12,19,23,17,18,1,202
RW,10,24,26,9,8,4,3,12,6,54,38,1,4,0,199
BD,22,17,19,15,11,11,16,18,11,14,18,4,14,0,190
PY,16,31,11,6,18,13,12,9,13,7,13,17,8,0,174
NI,13,11,14,12,11,14,14,7,8,19,21,20,8,0,172
