# ----------------------------------------
# SA app
# Dani pokes at LA trends-Free form 1
# 20201201-20220101
# ----------------------------------------

Month,01,12,02,05,06,04,03,12,10,07,11,09,01,Totals
Year,2021,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,Totals
Country ID,Returning users,Returning users,Returning users,Returning users,Returning users,Returning users,Returning users,Returning users,Returning users,Returning users,Returning users,Returning users,Returning users,Returning users
,11919,11401,10008,9846,8954,8880,8427,6884,5530,5086,2760,522,409,62618,Grand total
,0,0,0,0,0,0,0,0,1653,87,0,0,0,1732
(not set),78,17,21,1,8,5,15,2,1,0,0,0,0,142
AD,0,0,0,0,0,0,1,0,0,0,0,0,0,1
AE,16,11,10,7,6,6,10,7,2,2,2,0,0,67
AF,6,6,3,5,4,5,2,9,3,3,4,0,0,39
AG,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AL,1,0,0,0,0,1,1,0,0,0,0,0,0,2
AO,3,2,2,1,3,0,3,8,4,2,3,1,0,26
AR,713,1366,524,428,379,467,454,332,207,203,148,23,16,4453
AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,0,3,0,0,0,0,0,0,0,0,0,0,0,3
AU,4,4,0,1,0,5,0,1,0,0,0,0,0,14
AZ,5,5,5,0,0,1,3,0,0,0,0,0,0,19
BB,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BD,24,21,13,12,20,10,16,5,2,2,3,1,0,115
BE,2,2,4,2,1,2,0,1,1,2,0,0,0,14
BF,176,165,173,145,197,118,138,203,112,101,74,14,15,1008
BH,0,0,0,0,0,0,1,1,1,0,1,0,0,3
BI,4,4,5,1,12,2,7,8,7,4,7,1,0,41
BJ,124,138,102,75,120,84,95,151,78,73,58,8,11,685
BL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BM,0,0,0,0,0,1,0,0,0,0,0,0,0,1
BN,0,1,0,0,0,1,0,0,0,0,0,0,0,2
BO,55,74,54,73,49,83,48,25,28,27,27,2,1,420
BR,44,40,34,35,29,38,36,22,11,4,4,0,1,271
BS,0,0,1,0,0,1,1,0,0,2,0,0,0,5
BT,1,2,0,0,1,0,0,0,0,0,0,0,0,4
BW,1,3,1,1,3,2,2,3,2,2,3,0,0,17
BY,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BZ,4,2,1,1,0,3,1,2,1,1,1,0,0,7
CA,19,24,15,17,13,9,15,15,9,6,8,0,0,129
CD,367,361,405,595,472,521,488,641,430,289,270,56,27,2661
CF,3,2,6,4,3,1,2,2,3,3,1,0,0,18
CG,51,64,49,42,36,35,33,95,68,43,30,9,3,334
CH,1,1,0,0,3,2,3,1,1,1,0,0,0,10
CI,277,289,290,157,160,154,224,214,131,103,77,16,11,1365
CL,66,151,59,65,43,70,51,32,14,27,7,1,1,465
CM,309,284,262,300,340,216,262,319,277,201,157,40,32,1740
CN,8,5,7,2,2,0,2,1,0,0,0,0,0,27
CO,2244,1886,1275,1697,1308,1224,859,312,233,577,135,21,9,9187
CR,62,81,52,47,24,52,51,28,17,12,10,2,1,340
CU,34,46,46,41,37,32,45,29,15,15,9,0,1,276
CV,1,0,1,0,0,1,0,1,0,0,0,0,0,4
CW,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CY,1,2,0,1,3,1,0,0,0,0,0,0,0,7
CZ,2,0,0,0,0,0,0,0,0,0,1,0,0,3
DE,18,17,13,28,55,23,14,19,11,25,6,1,0,199
DJ,4,1,3,0,0,3,5,2,0,0,0,0,0,9
DK,2,1,0,0,3,1,1,1,2,2,1,0,0,9
DM,0,0,1,0,0,0,1,0,0,0,0,0,0,2
DO,25,24,26,17,43,23,20,42,14,12,25,1,0,231
DZ,3,8,4,5,7,4,4,4,4,0,3,1,0,40
EC,82,117,79,118,65,107,89,284,174,38,86,15,13,1044
EG,3,5,3,1,3,3,1,2,1,1,0,0,0,17
EH,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,24,69,17,45,28,28,13,11,1,8,4,0,2,212
ET,66,78,63,75,57,62,63,114,43,40,39,3,15,409
FI,0,0,0,0,1,0,0,0,0,0,0,0,0,1
FJ,2,0,1,1,2,2,1,0,1,1,0,0,0,6
FM,0,0,0,0,0,0,0,0,0,1,0,0,0,1
FR,45,37,42,51,85,39,36,43,33,37,24,4,4,380
GA,64,80,60,42,74,40,60,83,62,43,38,8,7,400
GB,18,19,13,14,22,12,6,11,11,8,4,0,0,123
GD,0,1,0,1,1,0,0,0,0,0,0,0,0,3
GE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF,0,0,1,1,0,0,0,1,0,0,0,0,0,3
GH,314,334,280,195,160,181,222,134,105,107,55,13,9,1249
GI,0,0,0,0,1,0,0,0,0,0,0,0,0,1
GM,7,3,12,4,2,5,2,1,1,3,2,0,0,27
GN,172,170,187,221,283,168,166,307,162,148,121,18,21,1222
GP,0,1,3,3,1,1,2,2,0,1,0,0,0,10
GQ,14,14,11,10,9,21,11,6,8,9,1,1,0,62
GR,0,2,0,1,0,0,0,0,0,0,0,0,0,3
GT,616,397,548,555,425,396,398,215,129,243,76,14,9,2976
GU,0,0,0,0,0,0,0,1,0,0,0,0,0,1
GW,2,2,1,0,1,1,2,0,1,1,1,0,0,9
GY,2,2,1,1,1,0,1,0,0,0,0,0,0,6
HK,3,1,1,6,2,0,0,0,0,0,0,0,0,13
HN,525,375,441,486,503,342,292,154,134,252,69,13,10,2798
HT,24,19,24,18,24,26,34,8,9,18,5,3,0,125
HU,0,0,0,0,1,0,0,1,1,1,0,0,0,2
ID,10,11,12,10,10,3,3,5,5,2,2,0,0,65
IE,0,1,0,0,1,1,0,0,0,0,0,0,0,3
IL,0,1,1,0,0,1,0,0,1,1,0,0,0,5
IN,155,155,119,136,110,103,117,53,34,27,18,4,0,915
IQ,3,4,3,3,4,1,2,1,0,1,0,0,0,17
IR,5,5,5,2,3,0,4,0,1,0,0,0,0,21
IT,2,4,4,5,0,3,1,1,2,1,0,0,0,23
JM,5,9,6,3,6,2,8,2,1,1,2,0,0,30
JO,0,0,0,1,0,1,0,0,0,0,0,0,0,2
JP,0,2,3,3,2,1,1,2,1,1,0,0,0,10
KE,243,243,170,187,243,161,144,255,239,182,105,28,19,1365
KG,0,0,0,1,0,1,0,1,0,0,0,0,0,3
KH,2,2,3,2,0,2,1,0,1,2,0,0,0,10
KM,7,5,9,3,27,8,10,26,7,17,9,1,1,84
KR,1,1,0,0,0,1,0,0,1,0,1,0,1,5
KW,0,0,0,3,0,1,1,0,1,1,0,0,0,7
KY,0,0,0,0,2,0,1,0,0,0,0,0,0,2
KZ,0,0,1,1,0,1,1,0,0,0,0,0,0,4
LA,0,0,0,0,1,0,0,0,0,0,0,0,0,1
LB,0,2,1,2,0,1,1,0,0,0,0,0,0,5
LC,0,0,0,1,1,0,4,0,0,0,0,0,0,5
LK,1,2,3,1,1,0,0,2,0,0,0,0,0,10
LR,34,34,28,20,19,24,20,19,16,15,11,2,0,124
LS,4,5,1,2,3,0,1,1,1,0,0,0,0,14
LT,2,0,0,0,0,1,0,0,0,0,0,0,0,3
LU,0,0,0,1,0,0,0,0,0,1,2,0,0,4
LV,0,0,0,1,0,0,0,0,0,0,0,0,0,1
LY,5,3,10,5,6,6,6,0,3,4,2,0,0,28
MA,7,4,8,3,5,1,1,7,3,4,3,0,0,42
MF,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MG,16,10,26,16,23,17,15,33,13,17,14,1,4,137
MH,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ML,122,140,111,121,192,98,120,160,95,99,61,10,7,799
MM,1,8,3,6,3,1,7,4,4,0,0,0,0,32
MN,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MQ,1,0,1,0,0,2,2,0,0,0,0,0,0,6
MR,4,5,4,4,3,5,3,3,2,3,2,0,1,26
MU,1,1,2,1,1,1,1,2,4,1,2,1,0,14
MV,0,0,0,1,0,1,0,0,0,0,0,0,0,2
MW,2,5,2,0,5,4,1,3,0,2,2,0,0,20
MX,2159,1560,2222,2064,1662,2129,1967,895,603,1058,327,64,63,12133
MY,3,9,4,6,4,7,9,5,2,3,0,0,0,36
MZ,1,1,1,2,3,3,2,2,1,0,0,0,0,12
NA,13,8,6,8,8,3,6,3,2,5,0,1,0,59
NC,0,0,1,0,0,0,0,0,0,0,0,0,0,1
NE,42,41,29,40,66,38,37,62,29,33,29,2,7,295
NG,1195,1234,1103,575,475,658,815,396,351,332,153,35,15,4167
NI,20,18,19,19,22,25,14,10,16,7,3,3,1,132
NL,19,20,11,13,25,12,16,10,5,13,6,0,0,128
NO,166,63,16,0,0,2,3,2,0,1,0,0,0,242
NP,6,5,8,6,5,10,8,2,3,1,1,0,0,39
NZ,0,1,3,9,2,6,2,0,0,0,1,0,0,22
OM,1,1,2,1,3,1,1,1,0,0,0,0,0,9
PA,15,24,12,6,8,13,10,8,1,4,2,0,1,86
PE,156,175,118,132,88,147,122,262,206,48,103,16,20,1266
PG,12,15,7,10,7,10,10,9,10,4,2,1,0,69
PH,43,37,47,48,64,46,42,33,17,21,10,2,1,355
PK,26,29,25,27,15,26,28,14,8,19,3,3,2,155
PL,3,2,0,0,1,1,2,0,0,0,0,0,0,9
PR,1,2,1,2,1,2,3,2,0,0,0,0,0,8
PS,0,0,0,0,0,1,0,0,0,0,0,0,0,1
PT,1,0,0,2,1,1,2,2,0,0,0,0,0,9
PY,23,34,16,25,15,22,12,6,8,7,2,1,0,137
QA,0,1,1,2,1,2,0,2,0,1,0,0,0,10
RE,2,1,1,1,3,3,0,0,1,1,0,0,0,8
RO,0,1,2,1,0,0,1,1,1,1,0,0,0,8
RS,0,0,0,1,0,0,0,0,0,0,0,0,0,1
RU,7,7,3,1,1,1,4,0,1,0,1,1,0,25
RW,21,34,14,16,35,8,11,45,65,14,17,4,3,185
SA,5,7,8,3,7,7,8,6,7,4,1,0,0,56
SB,2,3,1,0,0,0,1,0,0,0,0,0,0,4
SC,1,0,0,0,3,0,0,0,0,0,0,0,0,4
SD,2,1,3,1,1,2,3,2,0,0,0,0,1,9
SE,0,1,0,0,1,0,0,1,2,1,0,0,0,5
SG,2,4,2,6,1,4,2,2,1,1,0,1,0,19
SI,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SK,0,0,0,1,0,0,0,0,0,0,0,0,0,1
SL,13,16,14,15,13,13,11,13,13,10,7,0,1,84
SN,74,66,66,69,95,54,72,73,61,53,34,9,4,513
SO,5,4,4,6,3,4,6,7,10,3,2,1,1,40
SR,0,2,0,0,0,1,2,1,1,1,1,0,1,5
SS,2,4,5,6,6,4,3,4,6,6,3,1,0,35
SV,23,18,12,20,13,13,13,3,6,7,2,1,0,109
SY,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SZ,3,1,3,1,3,0,1,2,1,0,2,1,0,13
TC,0,1,0,0,0,0,0,0,0,0,0,0,0,1
TD,37,32,42,44,77,35,39,75,40,43,44,6,6,309
TG,75,75,66,62,106,63,60,53,47,51,26,6,4,438
TH,1,1,1,0,0,0,1,0,0,0,0,0,0,4
TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TL,0,0,0,1,0,0,0,0,0,0,0,0,0,1
TM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TN,3,1,2,1,1,0,2,1,1,0,1,0,0,12
TR,2,4,2,1,2,1,2,1,0,0,0,0,0,14
TT,1,0,0,1,2,1,2,1,0,0,0,0,0,8
TW,0,0,0,0,0,1,0,0,0,0,0,0,0,1
TZ,30,42,33,12,19,16,23,122,66,22,60,9,7,310
UA,0,2,1,0,2,0,2,1,0,0,0,0,0,8
UG,56,93,56,67,90,55,60,83,58,100,35,6,3,467
US,235,224,197,202,240,174,174,137,89,114,32,6,7,1439
UY,3,29,1,4,1,2,0,2,0,0,0,0,0,41
UZ,0,2,2,1,0,1,3,0,0,1,0,0,0,6
VC,0,0,0,0,0,0,1,0,0,0,0,0,0,1
VE,20,37,21,30,19,22,20,13,4,10,1,3,1,164
VN,2,0,1,0,0,0,0,2,3,0,0,0,0,8
VU,0,0,2,0,0,1,1,0,0,0,0,0,0,2
