# ----------------------------------------
# SA app
# Dani grabs LA user data for 2021 Jan-Free form 1
# 20220101-20220201
# ----------------------------------------

Month,01,02,Totals
Year,2022,2022,Totals
Country ID,Returning users,Returning users,Returning users
,7630,529,7858,Grand total
(not set),0,0,0
AE,6,0,6
AF,10,0,10
AO,6,1,6
AR,397,40,411
AT,2,0,2
AU,1,0,1
BA,0,0,0
BB,0,0,0
BD,3,0,3
BE,8,1,9
BF,236,14,242
BH,0,0,0
BI,9,1,9
BJ,139,9,142
BO,29,5,30
BR,34,2,36
BW,2,1,3
BZ,3,1,4
CA,13,0,13
CD,623,38,643
CF,6,0,6
CG,86,10,91
CH,2,1,2
CI,237,22,244
CL,39,2,41
CM,430,36,441
CN,0,0,0
CO,342,18,354
CR,43,5,47
CU,31,0,31
CV,0,0,0
CY,1,0,1
DE,16,1,17
DK,1,0,1
DO,70,2,72
DZ,5,0,5
EC,309,20,316
EG,1,0,1
EH,0,0,0
ER,0,0,0
ES,14,3,14
ET,115,8,118
FR,63,2,63
GA,89,5,90
GB,20,0,20
GF,1,0,1
GH,132,4,134
GM,1,0,1
GN,245,14,251
GP,2,0,2
GQ,9,0,9
GT,230,15,238
GW,1,0,1
HN,205,11,207
HT,17,3,19
HU,2,0,2
ID,4,0,4
IN,60,2,61
IQ,1,0,1
IR,3,0,3
IT,5,0,5
JM,5,0,5
JO,0,0,0
JP,1,0,1
KE,303,29,312
KG,1,0,1
KM,16,1,16
KR,1,0,1
KW,0,0,0
LB,1,0,1
LK,0,0,0
LR,18,1,18
LT,0,0,0
LU,1,0,1
LY,3,0,3
MA,7,0,7
MG,33,3,33
ML,172,12,176
MM,2,0,2
MQ,1,0,1
MR,7,1,8
MU,2,0,2
MW,3,0,3
MX,1078,75,1107
MY,2,0,2
MZ,1,0,1
NA,6,0,6
NE,63,3,64
NG,418,32,430
NI,14,1,14
NL,10,0,10
NO,0,0,0
NP,3,0,3
NZ,0,0,0
OM,1,0,1
PA,10,1,11
PE,311,22,322
PG,11,0,11
PH,25,1,26
PK,20,0,20
PL,1,0,1
PT,0,0,0
PY,3,0,3
QA,2,0,2
RO,0,0,0
RU,1,0,1
RW,38,2,39
SA,6,0,6
SD,4,0,4
SE,1,0,1
SG,1,1,2
SK,1,0,1
SL,17,2,18
SN,72,7,76
SO,10,0,10
SR,2,0,2
SS,6,0,6
SV,4,1,5
SZ,4,0,4
TD,67,5,70
TG,75,2,76
TL,1,0,1
TN,3,0,3
TR,2,0,2
TT,1,0,1
TZ,133,6,133
UG,59,6,61
US,138,14,142
UY,5,1,6
VE,17,0,17
VN,2,0,2
VU,1,0,1
YE,4,0,4
YT,1,0,1
ZA,71,2,72
ZM,26,1,27
ZW,7,1,7

