# ----------------------------------------
# SA app
# Dani pokes at LA trends-Free form 1
# 20201201-20220101
# ----------------------------------------

Month,01,12,02,08,12,11,06,07,05,09,10,04,03,01,Totals
Year,2021,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,Totals
Country ID,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users
,13462,12747,11626,11397,11343,11112,11279,11233,11365,10872,10725,10143,10074,649,90771,Grand total
(not set),93,21,25,2,9,2,9,1,1,7,4,6,20,0,193
AD,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AE,16,17,11,7,10,12,6,9,8,8,9,6,10,0,102
AF,7,8,3,8,10,8,5,8,6,3,7,7,2,1,50
AG,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
AL,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2
AO,5,2,2,5,13,8,3,3,1,6,5,0,3,0,38
AR,844,1437,671,348,773,825,496,585,509,677,714,557,554,38,6812
AS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
AT,0,3,0,0,0,0,0,0,0,1,0,0,0,0,4
AU,5,4,1,2,5,4,0,1,2,2,1,5,1,0,29
AZ,6,7,5,0,1,0,0,0,0,0,0,1,5,0,25
BB,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
BD,26,21,13,20,22,19,23,14,12,22,18,12,17,0,200
BE,2,3,4,3,4,2,2,3,2,4,3,2,0,0,27
BF,203,188,190,348,294,318,219,205,166,233,217,137,169,22,1548
BG,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
BH,0,0,0,1,1,2,0,0,0,3,1,0,1,0,5
BI,5,4,7,13,8,12,13,5,4,11,9,3,7,0,58
BJ,146,159,120,236,190,201,141,143,90,156,140,103,112,14,1008
BL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BM,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
BN,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3
BO,67,83,58,70,48,78,68,70,92,56,60,94,61,2,603
BR,46,43,38,50,74,60,33,29,40,51,56,40,39,2,528
BS,0,0,1,1,0,0,0,2,0,0,0,2,2,0,5
BT,1,2,0,0,0,2,2,0,0,0,0,0,0,0,7
BW,1,3,2,2,5,6,3,3,1,4,7,2,2,0,31
BY,0,0,0,0,0,0,1,1,0,2,1,0,0,0,3
BZ,4,2,1,1,2,2,0,2,1,2,2,3,1,0,7
CA,22,26,17,16,24,39,17,17,18,16,21,9,18,0,213
CD,409,391,442,767,806,777,565,540,633,707,732,558,528,35,3625
CF,4,2,7,1,3,1,3,4,4,3,3,2,2,0,21
CG,54,72,52,77,120,106,44,78,46,104,104,39,37,6,475
CH,1,1,0,0,3,4,3,3,0,0,3,2,3,1,16
CI,314,342,322,284,302,314,198,181,193,290,254,188,258,15,1978
CL,85,160,72,46,64,42,56,52,76,40,44,82,63,2,603
CM,344,331,302,674,441,481,386,348,323,458,471,251,292,40,2578
CN,8,5,7,2,4,1,2,2,2,2,2,0,2,0,39
CO,2521,2151,1629,1030,571,655,1733,1532,1999,786,631,1461,1170,23,11611
CR,73,101,64,44,86,54,45,35,65,40,37,64,62,3,540
CU,39,49,54,46,57,47,44,39,49,56,57,35,49,1,444
CV,1,0,1,0,2,0,0,0,0,0,0,1,0,0,5
CW,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
CY,1,2,0,1,0,1,3,1,1,2,0,1,1,0,8
CZ,2,0,0,0,2,2,0,1,1,0,1,0,0,0,9
DE,19,21,15,26,27,35,72,66,32,37,32,25,17,0,342
DJ,4,1,3,3,2,0,0,0,0,0,0,3,5,0,11
DK,2,1,0,3,1,2,3,2,0,5,2,1,1,0,14
DM,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
DO,31,28,31,62,134,118,49,43,18,39,35,24,20,3,521
DZ,4,9,4,6,12,12,8,4,6,7,9,4,4,0,70
EC,101,123,94,228,680,606,93,89,142,591,616,117,103,30,2753
EG,3,5,4,3,11,6,3,2,1,3,3,3,1,0,32
EH,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
ER,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ES,29,76,19,23,29,21,31,23,52,25,13,32,15,4,311
ET,69,87,67,81,132,115,66,66,81,83,73,70,72,18,518
FI,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
FJ,2,1,1,0,0,0,2,1,1,2,2,2,1,0,9
FM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
FO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
FR,51,43,49,93,77,85,107,83,56,92,68,42,40,5,668
GA,74,89,67,129,115,143,84,72,51,119,104,45,65,7,644
GB,19,20,14,16,25,18,29,34,15,19,45,14,7,0,246
GD,0,1,0,1,0,0,1,0,1,0,0,0,0,0,4
GE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
GF,0,0,1,1,1,0,0,0,1,0,0,0,0,0,4
GH,356,391,314,203,188,215,183,205,219,217,197,216,257,13,1701
GI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
GM,7,3,13,7,1,5,4,6,5,43,4,7,2,0,75
GN,196,195,204,501,390,407,309,269,231,317,278,188,187,22,1848
GP,2,1,3,0,2,2,1,1,3,1,0,1,4,0,15
GQ,14,16,11,9,10,8,9,13,13,5,12,21,12,0,76
GR,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3
GT,665,432,623,351,382,368,543,570,632,380,340,462,491,21,3935
GU,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
GW,2,2,1,1,0,2,2,2,0,1,2,2,2,0,10
GY,3,2,1,0,0,1,1,0,1,0,0,1,1,0,7
HK,3,1,1,5,1,6,2,13,6,4,7,0,0,0,47
HN,571,405,495,380,293,338,628,604,531,365,323,391,354,15,3799
HT,26,23,27,33,13,21,27,36,20,25,25,28,36,1,185
HU,0,0,0,1,2,2,1,1,0,0,2,0,0,0,5
ID,10,11,12,5,11,12,14,7,10,8,9,3,4,0,95
IE,0,1,0,1,0,3,1,0,0,4,2,1,0,0,13
IL,0,1,1,2,0,0,1,1,0,1,3,1,0,0,10
IN,167,167,130,140,147,135,138,112,145,142,142,116,128,7,1506
IQ,3,4,4,3,5,2,4,1,3,1,3,1,2,0,29
IR,5,5,5,6,6,6,4,1,2,6,9,0,4,0,52
IT,2,5,5,0,7,13,1,3,5,4,6,3,1,0,48
JM,6,9,7,3,4,10,6,4,5,6,6,2,8,0,47
JO,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
JP,0,2,3,1,3,1,2,1,5,1,2,1,2,0,16
KE,262,270,192,445,378,332,289,324,200,457,423,179,162,27,2138
KG,0,0,0,1,1,0,0,1,1,0,0,1,0,0,4
KH,2,2,3,1,0,2,0,2,2,0,2,2,1,0,11
KM,8,5,10,48,35,41,30,42,5,23,18,10,12,1,147
KN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
KR,2,1,0,2,0,2,1,0,0,1,2,1,0,1,10
KW,0,1,0,0,0,1,0,1,4,0,2,1,1,0,10
KY,0,0,0,1,0,0,2,0,0,0,0,0,1,0,3
KZ,0,0,1,0,1,0,0,0,1,0,0,1,1,0,5
LA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
LB,0,2,1,1,1,0,1,0,2,1,1,2,1,0,8
LC,0,0,0,1,0,0,1,0,1,0,2,0,4,0,7
LK,2,4,3,3,3,0,1,1,1,1,1,0,1,0,18
LR,35,36,31,27,24,27,24,23,24,23,28,29,23,0,162
LS,6,5,1,0,5,3,3,5,2,1,3,0,1,0,26
LT,2,0,0,0,1,0,0,0,0,0,0,1,0,0,4
LU,0,0,0,0,0,6,0,1,1,2,0,0,0,0,9
LV,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3
LY,6,3,11,5,0,4,6,5,6,4,5,7,7,0,38
MA,9,5,8,12,11,11,5,8,3,9,12,2,1,0,76
MF,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
MG,19,14,29,37,51,51,28,29,18,37,27,18,17,4,214
MH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ML,133,153,125,308,211,205,215,192,135,213,183,110,132,10,1197
MM,1,8,3,3,7,2,4,0,6,2,7,1,8,0,41
MN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
MO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MQ,1,0,1,1,0,1,0,0,0,1,1,2,2,0,9
MR,4,5,5,6,4,3,5,3,4,3,3,5,4,1,32
MU,2,1,2,10,2,3,1,2,1,4,8,1,1,0,26
MV,0,0,0,0,0,0,1,0,1,0,0,2,0,0,4
MW,2,7,2,7,3,2,5,4,0,2,2,5,2,1,27
MX,2442,1837,2602,1753,1587,1522,2235,2544,2487,1453,1493,2481,2373,102,16786
MY,5,10,4,5,9,2,6,6,6,5,4,9,10,0,53
MZ,1,1,1,28,3,2,3,1,2,2,1,3,2,0,45
NA,13,9,7,5,6,6,10,8,9,6,5,3,7,0,81
NC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
NE,49,41,33,86,79,90,70,58,46,67,51,45,41,9,424
NG,1374,1411,1257,709,557,581,603,642,705,653,646,821,990,27,5445
NI,25,20,22,24,17,24,26,16,22,31,34,26,18,1,203
NL,22,24,16,32,20,18,35,30,14,22,11,15,21,0,231
NO,172,63,18,4,3,1,0,2,0,2,1,2,3,0,253
NP,6,8,11,8,6,5,6,4,7,12,11,12,8,0,69
NZ,0,2,3,4,1,2,2,0,9,4,2,8,2,0,36
OM,1,1,3,0,1,0,3,2,2,2,2,1,1,0,13
PA,19,25,12,16,16,17,8,10,8,11,7,15,13,2,137
PE,176,187,141,324,548,587,124,110,155,669,677,173,153,35,2886
PG,12,15,7,14,14,13,9,11,11,17,16,10,10,1,96
PH,46,40,50,66,63,58,66,79,56,62,63,49,46,2,583
PK,26,35,26,18,26,25,19,28,30,29,28,27,30,4,244
PL,3,2,1,1,1,1,1,0,0,1,1,1,2,0,14
PR,1,2,1,2,3,5,5,2,3,1,1,2,4,0,20
PS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
PT,1,0,0,1,3,0,1,0,2,0,0,1,2,0,11
PY,27,37,18,16,12,10,16,19,27,16,14,23,14,0,190
QA,1,1,1,1,5,2,2,4,3,2,0,2,0,1,22
RE,2,1,2,2,1,1,3,1,1,0,1,3,0,0,11
RO,0,1,2,1,2,0,1,3,1,1,1,1,1,1,14
RS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
RU,8,8,3,1,6,5,1,4,2,8,5,1,5,0,54
RW,24,36,15,21,54,51,39,21,17,52,93,9,15,3,240
SA,8,9,10,16,14,10,9,10,4,8,15,10,9,0,108
SB,2,4,1,1,1,0,0,0,0,1,0,0,1,0,7
SC,1,0,0,0,0,0,3,0,0,0,0,0,0,0,4
SD,2,1,3,6,3,1,1,2,1,5,1,2,4,1,16
SE,0,1,0,1,1,4,1,2,0,3,4,0,0,0,11
SG,2,5,2,7,8,1,1,3,8,3,4,4,2,0,40
SI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SK,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3
SL,14,19,15,56,16,10,14,13,16,16,20,13,16,2,139
SN,83,73,76,141,111,123,108,100,73,105,125,59,77,6,802
SO,7,8,4,6,12,10,5,5,6,10,16,5,6,1,61
SR,0,2,0,1,3,1,0,1,0,1,1,1,2,1,7
SS,2,4,5,10,4,11,8,8,7,6,13,4,3,0,49
SV,25,19,16,10,11,12,16,18,22,11,13,17,15,0,154
SY,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
SZ,3,1,3,1,4,4,3,0,1,7,3,0,2,0,21
TC,0,2,0,1,0,0,0,0,0,1,0,0,0,0,3
TD,42,38,42,98,94,106,84,73,49,70,65,41,42,7,429
TG,84,87,73,127,90,103,116,91,75,100,88,67,74,5,632
TH,1,1,1,0,2,1,0,0,0,0,0,0,1,0,7
TJ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
TL,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
TM,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
TN,4,2,2,3,3,4,2,4,1,3,4,0,3,0,29
TO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TR,2,4,2,4,4,1,2,0,1,2,1,2,2,0,23
TT,1,0,1,0,2,2,2,0,1,0,0,1,2,0,10
TW,0,0,0,1,2,0,0,0,0,0,0,1,0,0,4
TZ,33,42,36,36,191,146,24,35,18,123,159,18,29,12,560
UA,0,2,2,2,3,2,2,0,0,1,0,0,2,0,15
UG,68,99,61,119,114,97,116,170,78,124,117,60,65,4,684
US,270,253,217,263,273,217,296,242,225,228,223,194,207,13,2391
UY,5,29,2,5,4,4,2,2,4,6,2,2,0,0,58
UZ,0,2,2,1,0,1,0,1,1,2,2,1,3,0,8
VC,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
VE,24,44,23,25,25,28,25,22,31,21,25,24,20,2,266
VN,2,0,1,1,2,0,0,3,0,5,3,0,0,1,12
VU,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2
WS,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2
XK,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
YE,5,5,1,2,4,4,5,4,2,4,4,2,4,0,25
YT,0,0,0,2,0,0,1,1,1,1,0,1,0,0,5
ZA,102,96,96,134,103,89,99,98,95,130,143,101,95,9,968
ZM,33,42,36,37,32,32,32,33,31,28,38,36,34,2,254
ZW,14,13,13,14,8,10,10,8,8,7,9,9,13,0,96

